Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_137_1964,VDD,Metal1,1104.7000,541.3925,4.999993
FILLER_137_1956,VDD,Metal1,1101.4665,541.5365,4.999993
FILLER_137_1940,VDD,Metal1,1094.8480,541.6520,4.999993
FILLER_137_1906,VDD,Metal1,1080.3555,541.7285,4.999993
FILLER_137_1872,VDD,Metal1,1061.3155,541.7285,4.999993
FILLER_137_1838,VDD,Metal1,1042.2755,541.7285,4.999993
FILLER_137_1804,VDD,Metal1,1023.2355,541.7285,4.999993
FILLER_137_1770,VDD,Metal1,1004.1955,541.7285,4.999993
FILLER_137_1767,VDD,Metal1,993.1600,540.9600,4.999993
FILLER_137_1765,VDD,Metal1,992.3200,540.9600,4.999993
FILLER_137_1761,VDD,Metal1,991.0200,541.3925,4.999993
FILLER_137_1730,VDD,Metal1,972.7200,540.9600,4.999993
FILLER_137_1726,VDD,Metal1,971.4200,541.3925,4.999992
FILLER_137_1718,VDD,Metal1,968.1865,541.5365,4.999992
FILLER_137_1702,VDD,Metal1,961.5680,541.6520,4.999991
FILLER_137_1668,VDD,Metal1,947.0755,541.7285,4.999991
FILLER_137_1634,VDD,Metal1,928.0355,541.7285,4.999991
FILLER_137_1600,VDD,Metal1,908.9955,541.7285,4.999991
FILLER_137_1566,VDD,Metal1,889.9555,541.7285,4.999991
FILLER_137_1532,VDD,Metal1,870.9155,541.7285,4.999991
FILLER_137_1498,VDD,Metal1,851.8755,541.7285,4.999991
FILLER_137_1464,VDD,Metal1,832.8355,541.7285,4.999990
FILLER_137_1430,VDD,Metal1,813.7955,541.7285,4.999988
FILLER_137_1396,VDD,Metal1,794.7555,541.7285,4.999988
FILLER_137_1393,VDD,Metal1,783.7200,540.9600,4.999988
FILLER_137_1391,VDD,Metal1,782.8800,540.9600,4.999988
FILLER_137_1383,VDD,Metal1,780.5865,541.5365,4.999988
FILLER_137_1373,VDD,Metal1,772.5200,540.9600,4.999988
FILLER_137_1371,VDD,Metal1,771.6800,540.9600,4.999988
FILLER_137_1367,VDD,Metal1,770.3800,541.3925,4.999988
FILLER_137_1359,VDD,Metal1,764.6800,540.9600,4.999962
FILLER_137_1354,VDD,Metal1,761.8800,540.9600,4.999961
FILLER_137_1352,VDD,Metal1,761.0400,540.9600,4.999961
FILLER_137_1344,VDD,Metal1,758.7465,541.5365,4.999961
FILLER_137_1328,VDD,Metal1,752.1280,541.6520,4.999961
FILLER_137_1294,VDD,Metal1,737.6355,541.7285,4.999961
FILLER_137_1260,VDD,Metal1,709.5200,540.9600,4.999959
FILLER_137_1257,VDD,Metal1,707.5600,540.9600,4.999959
FILLER_137_1255,VDD,Metal1,706.7200,540.9600,4.999959
FILLER_137_1167,VDD,Metal1,659.6265,541.5365,4.999948
FILLER_137_1160,VDD,Metal1,653.2400,540.9600,4.999948
FILLER_137_1158,VDD,Metal1,652.4000,540.9600,4.999950
FILLER_137_1124,VDD,Metal1,642.4355,541.7285,4.999951
FILLER_137_1090,VDD,Metal1,623.3955,541.7285,4.999953
FILLER_137_1087,VDD,Metal1,612.3600,540.9600,4.999954
FILLER_137_1071,VDD,Metal1,608.2080,541.6520,4.999954
FILLER_137_1026,VDD,Metal1,578.2000,540.9600,4.999956
FILLER_137_1022,VDD,Metal1,577.1800,541.3925,4.999956
FILLER_137_1012,VDD,Metal1,570.6400,540.9600,4.999959
FILLER_137_1004,VDD,Metal1,568.3465,541.5365,4.999962
FILLER_137_988,VDD,Metal1,561.7280,541.6520,4.999962
FILLER_137_970,VDD,Metal1,546.8400,540.9600,4.999966
FILLER_137_954,VDD,Metal1,542.6880,541.6520,4.999966
FILLER_137_950,VDD,Metal1,535.9200,540.9600,4.999966
FILLER_137_942,VDD,Metal1,533.6265,541.5365,4.999966
FILLER_137_920,VDD,Metal1,519.1200,540.9600,4.999966
FILLER_137_917,VDD,Metal1,517.1600,540.9600,4.999966
FILLER_137_901,VDD,Metal1,513.0080,541.6520,4.999966
FILLER_137_882,VDD,Metal1,497.8400,540.9600,4.999967
FILLER_137_874,VDD,Metal1,495.5465,541.5365,4.999967
FILLER_137_858,VDD,Metal1,488.9280,541.6520,4.999968
FILLER_137_846,VDD,Metal1,478.6200,541.3925,4.999968
FILLER_137_838,VDD,Metal1,473.2000,540.9600,4.999970
FILLER_137_834,VDD,Metal1,471.9000,541.3925,4.999970
FILLER_137_818,VDD,Metal1,466.5280,541.6520,4.999970
FILLER_137_815,VDD,Metal1,460.0400,540.9600,4.999970
FILLER_137_813,VDD,Metal1,459.2000,540.9600,4.999970
FILLER_137_809,VDD,Metal1,457.9000,541.3925,4.999970
FILLER_137_802,VDD,Metal1,452.7600,540.9600,4.999974
FILLER_137_800,VDD,Metal1,451.9200,540.9600,4.999974
FILLER_137_784,VDD,Metal1,447.4880,541.6520,4.999974
FILLER_137_750,VDD,Metal1,432.9955,541.7285,4.999975
FILLER_137_716,VDD,Metal1,409.4080,541.6520,4.999980
FILLER_137_710,VDD,Metal1,402.4600,541.3925,4.999981
FILLER_137_702,VDD,Metal1,399.2265,541.5365,4.999981
FILLER_137_686,VDD,Metal1,387.8000,540.9600,4.999981
FILLER_137_682,VDD,Metal1,386.7800,541.3925,4.999982
FILLER_137_676,VDD,Metal1,383.4200,541.3925,4.999982
FILLER_137_668,VDD,Metal1,378.0000,540.9600,4.999982
FILLER_137_664,VDD,Metal1,376.7000,541.3925,4.999982
FILLER_137_648,VDD,Metal1,371.3280,541.6520,4.999983
FILLER_137_624,VDD,Metal1,353.0800,540.9600,4.999984
FILLER_137_622,VDD,Metal1,352.2400,540.9600,4.999984
FILLER_137_614,VDD,Metal1,349.9465,541.5365,4.999984
FILLER_137_611,VDD,Metal1,345.8000,540.9600,4.999984
FILLER_137_609,VDD,Metal1,344.9600,540.9600,4.999984
FILLER_137_605,VDD,Metal1,343.6600,541.3925,4.999984
FILLER_137_597,VDD,Metal1,340.4265,541.5365,4.999984
FILLER_137_580,VDD,Metal1,328.7200,540.9600,4.999986
FILLER_137_571,VDD,Metal1,323.4000,540.9600,4.999986
FILLER_137_552,VDD,Metal1,313.9800,541.3925,4.999986
FILLER_137_542,VDD,Metal1,307.4400,540.9600,4.999986
FILLER_137_538,VDD,Metal1,306.1400,541.3925,4.999986
FILLER_137_530,VDD,Metal1,302.9065,541.5365,4.999986
FILLER_137_514,VDD,Metal1,291.4800,540.9600,4.999987
FILLER_137_512,VDD,Metal1,290.6400,540.9600,4.999987
FILLER_137_508,VDD,Metal1,288.4000,540.9600,4.999987
FILLER_137_478,VDD,Metal1,273.7865,541.5365,4.999990
FILLER_137_444,VDD,Metal1,261.6355,541.7285,4.999990
FILLER_137_410,VDD,Metal1,242.5955,541.7285,4.999990
FILLER_137_376,VDD,Metal1,223.5555,541.7285,4.999990
FILLER_137_342,VDD,Metal1,204.5155,541.7285,4.999990
FILLER_137_308,VDD,Metal1,185.4755,541.7285,4.999990
FILLER_137_274,VDD,Metal1,166.4355,541.7285,4.999991
FILLER_137_271,VDD,Metal1,155.4000,540.9600,4.999991
FILLER_137_267,VDD,Metal1,154.3800,541.3925,4.999991
FILLER_137_259,VDD,Metal1,151.1465,541.5365,4.999991
FILLER_137_242,VDD,Metal1,139.1600,540.9600,4.999992
FILLER_137_240,VDD,Metal1,138.3200,540.9600,4.999992
FILLER_137_206,VDD,Metal1,128.3555,541.7285,4.999992
