Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_137_1964,VSS,Metal1,1103.9400,544.5310,0.000001
FILLER_137_1956,VSS,Metal1,1100.4530,544.4180,0.000001
FILLER_137_1940,VSS,Metal1,1093.6320,544.3320,0.000001
FILLER_137_1906,VSS,Metal1,1079.0040,544.2820,0.000001
FILLER_137_1872,VSS,Metal1,1059.9640,544.2820,0.000001
FILLER_137_1838,VSS,Metal1,1040.9240,544.2820,0.000001
FILLER_137_1804,VSS,Metal1,1021.8840,544.2820,0.000001
FILLER_137_1770,VSS,Metal1,1002.8440,544.2820,0.000001
FILLER_137_1767,VSS,Metal1,993.1600,544.8800,0.000001
FILLER_137_1765,VSS,Metal1,992.3200,544.8800,0.000002
FILLER_137_1761,VSS,Metal1,990.2600,544.5310,0.000002
FILLER_137_1730,VSS,Metal1,972.7200,544.8800,0.000002
FILLER_137_1726,VSS,Metal1,970.6600,544.5310,0.000002
FILLER_137_1718,VSS,Metal1,967.1730,544.4180,0.000002
FILLER_137_1702,VSS,Metal1,960.3520,544.3320,0.000002
FILLER_137_1668,VSS,Metal1,945.7240,544.2820,0.000003
FILLER_137_1634,VSS,Metal1,926.6840,544.2820,0.000003
FILLER_137_1600,VSS,Metal1,907.6440,544.2820,0.000003
FILLER_137_1566,VSS,Metal1,888.6040,544.2820,0.000004
FILLER_137_1532,VSS,Metal1,869.5640,544.2820,0.000004
FILLER_137_1498,VSS,Metal1,850.5240,544.2820,0.000004
FILLER_137_1464,VSS,Metal1,831.4840,544.2820,0.000005
FILLER_137_1430,VSS,Metal1,812.4440,544.2820,0.000006
FILLER_137_1396,VSS,Metal1,793.4040,544.2820,0.000007
FILLER_137_1393,VSS,Metal1,783.7200,544.8800,0.000007
FILLER_137_1391,VSS,Metal1,782.8800,544.8800,0.000008
FILLER_137_1383,VSS,Metal1,779.5730,544.4180,0.000008
FILLER_137_1373,VSS,Metal1,772.5200,544.8800,0.000009
FILLER_137_1371,VSS,Metal1,771.6800,544.8800,0.000012
FILLER_137_1367,VSS,Metal1,769.6200,544.5310,0.000012
FILLER_137_1359,VSS,Metal1,764.6800,544.8800,0.000015
FILLER_137_1354,VSS,Metal1,761.8800,544.8800,0.000015
FILLER_137_1352,VSS,Metal1,761.0400,544.8800,0.000017
FILLER_137_1344,VSS,Metal1,757.7330,544.4180,0.000017
FILLER_137_1328,VSS,Metal1,750.9120,544.3320,0.000018
FILLER_137_1294,VSS,Metal1,736.2840,544.2820,0.000020
FILLER_137_1260,VSS,Metal1,709.5200,544.8800,0.000023
FILLER_137_1257,VSS,Metal1,707.5600,544.8800,0.000023
FILLER_137_1255,VSS,Metal1,706.7200,544.8800,0.000025
FILLER_137_1167,VSS,Metal1,658.6130,544.4180,0.000027
FILLER_137_1160,VSS,Metal1,653.2400,544.8800,0.000022
FILLER_137_1158,VSS,Metal1,652.4000,544.8800,0.000022
FILLER_137_1124,VSS,Metal1,641.0840,544.2820,0.000020
FILLER_137_1090,VSS,Metal1,622.0440,544.2820,0.000017
FILLER_137_1087,VSS,Metal1,612.3600,544.8800,0.000016
FILLER_137_1071,VSS,Metal1,606.9920,544.3320,0.000016
FILLER_137_1026,VSS,Metal1,578.2000,544.8800,0.000012
FILLER_137_1022,VSS,Metal1,576.4200,544.5310,0.000012
FILLER_137_1012,VSS,Metal1,570.6400,544.8800,0.000009
FILLER_137_1004,VSS,Metal1,567.3330,544.4180,0.000009
FILLER_137_988,VSS,Metal1,560.5120,544.3320,0.000009
FILLER_137_970,VSS,Metal1,546.8400,544.8800,0.000007
FILLER_137_954,VSS,Metal1,541.4720,544.3320,0.000007
FILLER_137_950,VSS,Metal1,535.9200,544.8800,0.000006
FILLER_137_942,VSS,Metal1,532.6130,544.4180,0.000006
FILLER_137_920,VSS,Metal1,519.1200,544.8800,0.000005
FILLER_137_917,VSS,Metal1,517.1600,544.8800,0.000005
FILLER_137_901,VSS,Metal1,511.7920,544.3320,0.000005
FILLER_137_882,VSS,Metal1,497.8400,544.8800,0.000004
FILLER_137_874,VSS,Metal1,494.5330,544.4180,0.000004
FILLER_137_858,VSS,Metal1,487.7120,544.3320,0.000004
FILLER_137_846,VSS,Metal1,477.8600,544.5310,0.000003
FILLER_137_838,VSS,Metal1,473.2000,544.8800,0.000003
FILLER_137_834,VSS,Metal1,471.1400,544.5310,0.000003
FILLER_137_818,VSS,Metal1,465.3120,544.3320,0.000003
FILLER_137_815,VSS,Metal1,460.0400,544.8800,0.000003
FILLER_137_813,VSS,Metal1,459.2000,544.8800,0.000003
FILLER_137_809,VSS,Metal1,457.1400,544.5310,0.000003
FILLER_137_802,VSS,Metal1,452.7600,544.8800,0.000003
FILLER_137_800,VSS,Metal1,451.9200,544.8800,0.000003
FILLER_137_784,VSS,Metal1,446.2720,544.3320,0.000003
FILLER_137_750,VSS,Metal1,431.6440,544.2820,0.000003
FILLER_137_716,VSS,Metal1,408.1920,544.3320,0.000002
FILLER_137_710,VSS,Metal1,401.7000,544.5310,0.000002
FILLER_137_702,VSS,Metal1,398.2130,544.4180,0.000002
FILLER_137_686,VSS,Metal1,387.8000,544.8800,0.000002
FILLER_137_682,VSS,Metal1,386.0200,544.5310,0.000002
FILLER_137_676,VSS,Metal1,382.6600,544.5310,0.000002
FILLER_137_668,VSS,Metal1,378.0000,544.8800,0.000002
FILLER_137_664,VSS,Metal1,375.9400,544.5310,0.000002
FILLER_137_648,VSS,Metal1,370.1120,544.3320,0.000002
FILLER_137_624,VSS,Metal1,353.0800,544.8800,0.000001
FILLER_137_622,VSS,Metal1,352.2400,544.8800,0.000001
FILLER_137_614,VSS,Metal1,348.9330,544.4180,0.000001
FILLER_137_611,VSS,Metal1,345.8000,544.8800,0.000001
FILLER_137_609,VSS,Metal1,344.9600,544.8800,0.000001
FILLER_137_605,VSS,Metal1,342.9000,544.5310,0.000001
FILLER_137_597,VSS,Metal1,339.4130,544.4180,0.000001
FILLER_137_580,VSS,Metal1,328.7200,544.8800,0.000001
FILLER_137_571,VSS,Metal1,323.4000,544.8800,0.000001
FILLER_137_552,VSS,Metal1,313.2200,544.5310,0.000001
FILLER_137_542,VSS,Metal1,307.4400,544.8800,0.000001
FILLER_137_538,VSS,Metal1,305.3800,544.5310,0.000001
FILLER_137_530,VSS,Metal1,301.8930,544.4180,0.000001
FILLER_137_514,VSS,Metal1,291.4800,544.8800,0.000001
FILLER_137_512,VSS,Metal1,290.6400,544.8800,0.000001
FILLER_137_508,VSS,Metal1,288.4000,544.8800,0.000001
FILLER_137_478,VSS,Metal1,272.7730,544.4180,0.000001
FILLER_137_444,VSS,Metal1,260.2840,544.2820,0.000001
FILLER_137_410,VSS,Metal1,241.2440,544.2820,0.000001
FILLER_137_376,VSS,Metal1,222.2040,544.2820,0.000001
FILLER_137_342,VSS,Metal1,203.1640,544.2820,0.000001
FILLER_137_308,VSS,Metal1,184.1240,544.2820,0.000001
FILLER_137_274,VSS,Metal1,165.0840,544.2820,0.000001
FILLER_137_271,VSS,Metal1,155.4000,544.8800,0.000001
FILLER_137_267,VSS,Metal1,153.6200,544.5310,0.000001
FILLER_137_259,VSS,Metal1,150.1330,544.4180,0.000001
FILLER_137_242,VSS,Metal1,139.1600,544.8800,0.000001
FILLER_137_240,VSS,Metal1,138.3200,544.8800,0.000001
FILLER_137_206,VSS,Metal1,127.0040,544.2820,0.000001
FILLER_137_172,VSS,Metal1,107.9640,544.2820,0.000001
FILLER_137_138,VSS,Metal1,88.9240,544.2820,0.000001
FILLER_137_104,VSS,Metal1,69.8840,544.2820,0.000001
FILLER_137_70,VSS,Metal1,50.8440,544.2820,0.000001
FILLER_137_36,VSS,Metal1,31.8040,544.2820,0.000001
FILLER_137_2,VSS,Metal1,12.7640,544.2820,0.000001
FILLER_136_1967,VSS,Metal1,1105.1600,537.0400,0.000012
FILLER_136_1959,VSS,Metal1,1102.1330,537.5015,0.000012
FILLER_136_1927,VSS,Metal1,1090.7640,537.6375,0.000012
FILLER_136_1921,VSS,Metal1,1079.8600,537.3885,0.000012
FILLER_136_1857,VSS,Metal1,1060.4845,537.6775,0.000012
FILLER_136_1851,VSS,Metal1,1040.6600,537.3885,0.000012
FILLER_136_1787,VSS,Metal1,1021.2845,537.6775,0.000012
FILLER_136_1781,VSS,Metal1,1001.4600,537.3885,0.000012
